Iterations,VI avg moves,QL avg moves
5130,164.1,38.8
5135,152.7,186.2
5140,123.6,266.2
5145,146.1,297.2
5150,167.1,238.7
5155,150.2,21.5
5160,213.7,30.2
5165,118.8,148.6
5170,90,47.4
5175,140.2,258.6
5180,130.6,138.9
5185,175.1,156.1
5190,255.4,258.9
5195,253.3,238.9
5200,128.9,128.4
5205,172.2,158.8
5210,107.2,38.5
5215,127.6,129
5220,181.9,286.2
5225,168.7,138.8
5230,148,158.7
5235,173.9,120.1
5240,118,297.2
5245,213.4,266
5250,161.7,130.1
5255,85.1,21.4
5260,116.8,158.7
5265,135.5,157.6
5270,175,129.8
5275,151.6,130
5280,121.4,167.2
5285,161,128.6
5290,141.4,129.8
5295,130.4,129.7
5300,157.9,147.2
5305,140.4,128.6
5310,219.7,120
5315,165.5,129.9
5320,117.2,139
5325,197.6,157.4
5330,143.3,148.7
5335,162.1,128.6
5340,165.1,158.9
5345,175.9,157.3
5350,88.2,148.4
5355,121.2,158.8
5360,167,29.8
5365,130.2,128.3
5370,137.7,29.7
5375,183.4,148.6
5380,147.5,111.5
5385,126.2,128.7
5390,108.3,119.8
5395,195.6,149
5400,193.5,128.7
5405,173,119.8
5410,119,167.5
5415,129.1,148.3
5420,153.4,137.1
5425,90.1,139.8
5430,156.7,157.5
5435,112.4,47.2
5440,261.9,119.8
5445,175.1,146
5450,125.2,138.6
5455,115.6,119.8
5460,133.6,138.6
5465,132.7,129.9
5470,159.5,128.5
5475,109.9,147
5480,179.8,128.6
5485,101,129.7
5490,163.9,128.7
5495,184.5,29.6
5500,121.9,119.7
5505,150.7,120.2
5510,149.5,129.9
5515,124,38.4
5520,132.5,158.6
5525,129.8,21.1
5530,188.8,139.8
5535,124.9,21.2
5540,186.3,147.4
5545,166.6,30
5550,121.2,158.7
5555,114.9,140.1
5560,165.2,111.1
5565,158.4,38.4
5570,183.9,38.4
5575,180,129.9
5580,143.9,130.1
5585,171.2,119.9
5590,245.6,119.4
5595,178.2,137.4
5600,152,119.7
5605,133.7,129.8
5610,231,38.7
5615,224.9,137.4
5620,116.8,119.7
5625,143.6,38.5
5630,216,110.9
5635,138.8,38.3
5640,155.6,119.6
5645,166.4,119.8
5650,177.1,29.8
5655,111.8,29.8
5660,158.7,119.7
5665,127.5,137.5
5670,145,29.6
5675,132.7,119.5
5680,173.3,29.6
5685,167.6,137.1
5690,198.5,119.7
5695,165.9,119.6
5700,94,120.2
5705,181,110.8
5710,209.6,110.9
5715,138.3,137.4
5720,218.5,128.5
5725,126.9,110.9
5730,122.8,38.4
5735,94.1,119.8
5740,111.8,47.3
5745,101.1,111
5750,189.8,110.8
5755,168.9,128.3
5760,128.7,146.1
5765,188,120
5770,196.4,29.8
5775,148.8,30
5780,205.7,119.7
5785,128,38.7
5790,155.5,38.6
5795,97.6,128.5
5800,126.8,137.5
5805,225.5,47.1
5810,194.3,137.3
5815,129.7,120
5820,122.9,128.4
5825,182.2,119.8
5830,138.5,128.6
5835,180.1,119.8
5840,125.6,120
5845,127.4,111
5850,168.2,119.6
5855,127.8,119.8
5860,143.9,21.2
5865,93.4,128.6
5870,141.8,38.3
5875,166.3,137.2
5880,130.8,29.9
5885,210.7,119.5
5890,186.3,111.1
5895,152.7,128.6
5900,152.6,128.7
5905,141.4,38.6
5910,216.3,29.5
5915,138.2,111.1
5920,120.6,128.5
5925,179.3,119.9
5930,194.3,119.8
5935,167.7,128.5
5940,126.7,110.8
5945,145.2,38.6
5950,180.4,119.9
5955,180.4,38.4
5960,104.2,128.4
5965,144.4,128.6
5970,162.3,128.4
5975,187.5,137.3
5980,168.8,38.5
5985,158.9,29.8
5990,131.6,128.3
5995,119.7,21.1
6000,197.8,128.4
6005,124.9,119.7
6010,192.7,119.5
6015,119.7,29.5
6020,120,128.2
6025,197.4,128.7
6030,128.9,111.2
6035,122.3,128.2
6040,178.2,120
6045,101.2,137.2
6050,110.7,119.7
6055,189.3,119.3
6060,156.3,128.5
6065,172,128.7
6070,163.7,119.7
6075,156,119.8
6080,118.4,119.7
6085,139.1,128.3
6090,134.8,119.4
6095,192,128.6
6100,115.3,110.8
6105,115.8,110.9
6110,104.5,137.2
6115,175.7,119.7
6120,194.9,128.6
6125,226,119.4
6130,132.7,137.1
6135,98.1,119.8
6140,98.7,110.8
6145,103.7,110.7
6150,136.4,119.6
6155,124.2,119.7
6160,144.7,110.8
