Iterations,VI avg moves,QL avg moves
6140,11602.9,200
6145,11998.9,600
6150,11912.4,410
6155,11903.8,510
6160,11842,270
6165,12600.4,310
6170,11407.7,490
6175,12179.1,342.5
6180,11315,280
6185,11086.3,470
6190,11774.4,490
6195,11482.6,460
6200,12367.2,600
6205,11894.4,335
6210,11462,392.5
6215,11125.9,170
6220,11826.7,412.5
6225,12281.1,270
6230,12722.1,630
6235,11481.6,290
6240,12226.5,432.5
6245,12129.7,160
6250,12266,345
6255,11750.3,250
6260,12092.1,230
6265,12777.8,272.5
6270,11531.9,220
6275,10966.7,350
6280,11862.3,480
6285,11923.9,302.5
6290,11979.4,482.5
6295,10970.7,390
6300,12103.8,530
6305,11904.9,350
6310,12457.1,520
6315,11640.1,340
6320,11936.5,262.5
6325,12227.2,350
6330,12784.1,442.5
6335,12665.8,450
6340,12015.3,350
6345,11128.4,420
6350,11931.2,540
6355,11794,432.5
6360,11774.1,300
6365,11502.3,282.5
6370,12043.6,255
6375,11934.6,352.5
6380,11846.6,350
6385,11166.2,460
6390,12133.3,470
6395,11898.6,360
6400,11533.7,300
6405,11703,310
6410,11906.3,340
6415,12904.4,220
6420,11718.1,360
6425,11456,252.5
6430,11353.7,490
6435,11835.7,352.5
6440,11534.2,290
6445,11648.2,430
6450,11431.7,270
6455,12108,450
6460,11178.8,360
6465,11386.7,310
6470,10794.9,220
6475,10901.3,302.5
6480,12612.6,370
6485,12126.6,270
6490,12005.1,470
6495,10662.3,430
6500,12555.7,490
6505,11348.9,372.5
6510,12925.3,240
6515,12646.9,340
6520,11230.7,340
6525,11885.9,250
6530,11866.5,660
6535,12171.4,300
6540,11147.3,252.5
6545,11303.6,560
6550,11579.4,315
6555,11242.6,382.5
6560,11582,440
6565,11473.8,272.5
6570,12121.8,300
6575,12415.8,250
6580,11928.1,270
6585,11239.8,310
6590,11516.7,250
6595,11655.3,470
6600,11463.8,450
6605,12507.2,360
6610,12257.5,460
6615,11396.7,502.5
6620,11995.4,492.5
6625,11776.3,390
6630,11752.5,260
6635,11998.9,260
6640,13000,272.5
6645,12457,245
6650,12134.9,202.5
6655,11638.8,410
6660,11795.9,355
6665,12114.8,240
6670,13000,265
6675,11830.7,400
